B1_raw,B2_raw,B3_raw,B4_raw,B5_raw,B6_raw,B7_raw,B8_raw,B9_raw,B10_raw,B11_raw,B1_rad,B2_rad,B3_rad,B4_rad,B5_rad,B6_rad,B7_rad,B8_rad,B9_rad,B10_rad,B11_rad,B1_toa,B2_toa,B3_toa,B4_toa,B5_toa,B6_toa,B7_toa,B8_toa,B9_toa,B10_toa,B11_toa,DateTimeStamp,B1_sr,B2_sr,B3_sr,B4_sr,B5_sr,B6_sr,B7_sr,B10_sr,B11_sr
8886,8059,7271,6702,9121,7085,5974,6983,5016,26052,23962,49.1257209777832,39.60289001464844,27.08860969543457,17.12428092956543,25.369104385375977,3.1917765140533447,0.5026136636734009,22.578147888183594,0.038564223796129234,8.806578636169434,8.108100891113281,0.11150214076042177,0.08777278661727905,0.06516247242689133,0.04883598536252976,0.11824506521224976,0.059825517237186425,0.027947263792157173,0.05689879879355431,0.0004590869648382068,294.3241271972656,292.9983215332031,2014-10-17,188,224,353,321,1148,625,302,2943,2930
8886,8059,7271,6702,9121,7085,5974,6983,5016,26052,23962,49.1257209777832,39.60289001464844,27.08860969543457,17.12428092956543,25.369104385375977,3.1917765140533447,0.5026136636734009,22.578147888183594,0.038564223796129234,8.806578636169434,8.108100891113281,0.11150214076042177,0.08777278661727905,0.06516247242689133,0.04883598536252976,0.11824506521224976,0.059825517237186425,0.027947263792157173,0.05689879879355431,0.0004590869648382068,294.3241271972656,292.9983215332031,2014-10-17,184,213,341,310,1192,716,346,2944,2931
8883,8039,7243,6672,9271,7386,6115,6948,5019,26098,23982,49.087806701660156,39.34397506713867,26.75460433959961,16.822492599487305,26.29251480102539,3.65257740020752,0.5753710865974426,22.17967987060547,0.045781925320625305,8.821951866149902,8.114784240722656,0.11390045285224915,0.0891433134675026,0.06579415500164032,0.049044951796531684,0.1252817064523697,0.06998879462480545,0.03270640969276428,0.05714089050889015,0.0005573231610469519,294.437255859375,293.0562744140625,2014-10-17,188,224,353,321,1148,625,302,2943,2930
8883,8039,7243,6672,9271,7386,6115,6948,5019,26098,23982,49.087806701660156,39.34397506713867,26.75460433959961,16.822492599487305,26.29251480102539,3.65257740020752,0.5753710865974426,22.17967987060547,0.045781925320625305,8.821951866149902,8.114784240722656,0.11390045285224915,0.0891433134675026,0.06579415500164032,0.049044951796531684,0.1252817064523697,0.06998879462480545,0.03270640969276428,0.05714089050889015,0.0005573231610469519,294.437255859375,293.0562744140625,2014-10-17,184,213,341,310,1192,716,346,2944,2931
8840,8012,7249,6679,8132,7374,6350,6943,5029,24924,22921,48.77019882202149,39.17250061035156,26.95322608947754,16.971647262573242,19.37030029296875,3.6515088081359854,0.6998772025108337,22.224573135375977,0.06991536170244217,8.429600715637207,7.7601985931396475,0.11578942835330965,0.09082233160734177,0.06781521439552307,0.05062771961092949,0.0944407507777214,0.07158440351486206,0.040707219392061234,0.05858824402093887,0.0008744454244151711,291.5140075683594,289.9468688964844,2017-10-25,218,243,378,336,901,751,443,2915,2899
8840,8012,7249,6679,8132,7374,6350,6943,5029,24924,22921,48.77019882202149,39.17250061035156,26.95322608947754,16.971647262573242,19.37030029296875,3.6515088081359854,0.6998772025108337,22.224573135375977,0.06991536170244217,8.429600715637207,7.7601985931396475,0.11578942835330965,0.09082233160734177,0.06781521439552307,0.05062771961092949,0.0944407507777214,0.07158440351486206,0.040707219392061234,0.05858824402093887,0.0008744454244151711,291.5140075683594,289.9468688964844,2017-10-25,222,246,384,346,1034,803,475,2916,2900
8838,8009,7255,6699,8555,7541,6453,6952,5030,24956,22950,48.74480819702149,39.13349151611328,27.025146484375,17.17379379272461,21.98642921447754,3.908371686935425,0.7532744407653809,22.327526092529297,0.07234200090169908,8.440295219421388,7.769890308380128,0.11862317472696304,0.09300081431865692,0.06969652324914932,0.05251192301511765,0.1098763421177864,0.07853608578443527,0.04490866512060165,0.06033153459429741,0.000927220331504941,291.5946960449219,290.0328674316406,2017-10-25,218,243,378,336,901,751,443,2915,2899
8838,8009,7255,6699,8555,7541,6453,6952,5030,24956,22950,48.74480819702149,39.13349151611328,27.025146484375,17.17379379272461,21.98642921447754,3.908371686935425,0.7532744407653809,22.327526092529297,0.07234200090169908,8.440295219421388,7.769890308380128,0.11862317472696304,0.09300081431865692,0.06969652324914932,0.05251192301511765,0.1098763421177864,0.07853608578443527,0.04490866512060165,0.06033153459429741,0.000927220331504941,291.5946960449219,290.0328674316406,2017-10-25,222,246,384,346,1034,803,475,2916,2900
8943,8068,7331,6714,11440,6931,5824,7246,5034,26552,24445,49.70399475097656,39.60482025146485,27.7319278717041,17.193222045898438,39.53213882446289,2.947964191436768,0.4239909946918488,25.49503898620605,0.08131678402423859,8.973678588867188,8.269518852233888,0.11006247997283937,0.08563826978206635,0.06506609916687013,0.04784354194998741,0.17976221442222595,0.05390074476599693,0.023000625893473625,0.06269346177577972,0.0009490495431236924,295.5477600097656,294.3902282714844,2018-10-12,178,203,350,309,1781,562,247,2955,2944
8943,8068,7331,6714,11440,6931,5824,7246,5034,26552,24445,49.70399475097656,39.60482025146485,27.7319278717041,17.193222045898438,39.53213882446289,2.947964191436768,0.4239909946918488,25.49503898620605,0.08131678402423859,8.973678588867188,8.269518852233888,0.11006247997283937,0.08563826978206635,0.06506609916687013,0.04784354194998741,0.17976221442222595,0.05390074476599693,0.023000625893473625,0.06269346177577972,0.0009490495431236924,295.5477600097656,294.3902282714844,2018-10-12,176,205,360,311,1836,668,284,2956,2944
