,B1_raw,B2_raw,B3_raw,B4_raw,B5_raw,B6_raw,B7_raw,B8_raw,B9_raw,B10_raw,B11_raw,DateTimeStamp
0,8886,8059,7271,6702,9121,7085,5974,6983,5016,26052,23962,2014/10/17
1,8840,8012,7249,6679,8132,7374,6350,6943,5029,24924,22921,2017/10/25
2,8943,8068,7331,6714,11440,6931,5824,7246,5034,26552,24445,2018/10/12
3,10151,9254,8346,7814,10519,9331,7939,8425,5039,23783,21765,2013/04/02
4,8883,8039,7243,6672,9271,7386,6115,6948,5019,26098,23982,2014/10/17
5,8902,8052,7121,6668,8090,7728,6518,6991,5028,24288,22470,2015/10/20
6,8221,7542,6757,6439,7385,6778,6060,6615,5033,22080,20742,2013/12/17
7,9099,8350,7546,7196,7179,7670,6747,7300,5057,23147,21715,2018/03/02
8,8838,8009,7255,6699,8555,7541,6453,6952,5030,24956,22950,2017/10/25
9,8958,8089,7367,6723,11629,7292,5948,7367,5033,26553,24449,2018/10/12
10,9821,8831,7852,7183,8613,7512,6197,7614,5021,26862,24267,2019/09/29
11,9085,8165,7335,6588,10032,7296,5952,7070,5042,26210,24158,2020/10/01
12,8521,7773,6882,6622,6733,6809,6247,6706,5075,19709,18806,2015/02/06
13,9628,8807,7904,7596,8704,8664,7358,7972,5209,20763,19700,2017/03/15
14,8240,7553,6789,6389,7897,6809,5905,6502,5031,21266,20120,2016/12/09
15,8210,7527,6743,6436,7449,6995,6201,6590,5034,22123,20769,2013/12/17
16,10289,9404,8791,8132,11559,9530,7808,8404,5029,26711,24363,2017/05/02
17,9083,8323,7516,7177,7336,8020,7018,7316,5059,23145,21720,2018/03/02
18,8538,7803,7027,6605,8036,7296,6182,6778,5043,23266,21803,2017/11/26
19,8544,7809,7018,6611,7948,6938,6022,6783,5041,23213,21766,2017/11/26
20,9990,8972,8222,7566,10716,8612,7177,8014,5038,25531,23379,2019/04/22
21,10307,9326,8348,7723,10846,8254,7010,8302,5028,25022,23101,2014/04/24
22,8529,7811,7054,6709,8025,8259,6864,7043,5027,21563,20316,2019/02/01
23,8358,7627,6818,6443,7336,6562,5955,6616,5007,19751,18773,2016/01/24
24,8567,7751,6964,6441,8358,6957,5911,6702,5029,23874,22220,2016/11/07
25,9981,8969,8202,7545,10304,8417,7091,7954,5035,25458,23336,2019/04/22
26,8497,7751,6884,6447,7296,6726,5863,6655,5020,22974,21421,2016/12/25
27,8779,7965,7311,6753,11189,7309,5947,7332,5028,24006,22214,2018/10/28
28,8429,7660,6795,6351,7668,6499,5818,6604,5029,22432,21033,2020/11/18
29,8757,7906,7118,6604,9761,6776,5865,6851,5026,24480,22491,2016/10/22
30,8553,7778,6844,6431,6553,6630,5953,6627,5013,22041,20760,2015/01/21
31,8258,7565,6814,6425,7895,6588,5806,6538,5029,21269,20127,2016/12/09
32,8920,8050,7180,6587,9163,6895,5816,6977,5018,24785,22948,2020/10/17
33,10057,8997,7935,7204,9193,7426,6166,7711,5040,27011,24397,2014/08/14
34,9824,8834,7828,7157,8496,7358,6119,7555,5020,26839,24263,2019/09/29
35,8564,7748,6949,6440,8098,6918,5877,6691,5031,23855,22211,2016/11/07
36,10323,9368,8389,7715,10992,9208,7469,8463,5028,25077,23133,2014/04/24
37,9663,8776,7981,7535,8412,7292,6279,7803,5039,25297,23415,2016/03/28
38,9083,8160,7291,6568,9821,7194,5902,7015,5040,26196,24144,2020/10/01
39,10013,8982,8063,7293,11003,7494,6104,7668,5015,26845,23763,2018/08/09
40,10160,9239,8553,7871,11134,9072,7234,8258,5035,24702,22780,2016/04/13
41,10122,9132,8169,7418,9616,9495,7676,7970,5101,24866,22818,2015/04/27
42,10664,9761,8975,8361,11463,9139,7243,8747,5081,27857,24880,2019/06/25
43,10184,9237,8455,7874,10362,8830,7330,8401,5027,23913,22086,2013/04/07
44,9580,8570,7671,6824,9361,6506,5728,7332,5047,26677,24209,2016/09/04
45,10280,9405,8795,8150,11186,9344,7733,8403,5033,26686,24337,2017/05/02
46,10088,9205,8462,7670,10352,7944,6612,8084,5035,25363,23361,2020/04/08
47,8491,7747,6946,6505,8023,7505,6411,6733,5032,23741,22168,2015/11/21
48,8517,7768,6883,6622,6632,6707,6204,6683,5066,19719,18809,2015/02/06
49,9162,8426,7661,7504,7646,7495,6444,7756,5016,22228,20808,2014/02/19
50,10775,9718,8850,7978,11484,8013,6581,8457,5021,27080,24527,2014/07/29
51,9305,8348,7369,6740,9417,6998,5913,7163,5035,26599,24257,2014/10/01
52,9642,8823,7930,7629,8699,8239,7121,7959,5188,20762,19700,2017/03/15
53,9621,8606,7875,6988,12630,7370,5977,7537,5016,27091,24514,2018/09/26
54,9309,8349,7360,6739,9404,6802,5826,7147,5035,26557,24247,2014/10/01
55,8403,7700,6915,6531,7986,7704,6502,6765,5030,21420,20242,2019/01/16
56,8553,7783,6853,6447,6685,6776,6064,6656,5013,22059,20776,2015/01/21
57,8352,7665,7067,6577,9563,7489,6284,6955,5024,20930,19835,2018/11/29
58,8405,7732,6882,6587,7043,6614,6130,6728,5025,20230,19121,2014/01/18
59,8355,7662,7016,6530,8930,7313,6201,6875,5026,20893,19813,2018/11/29
60,8776,7962,7292,6755,11035,7028,5849,7269,5027,23978,22198,2018/10/28
61,10510,9496,8717,7958,10903,8922,7091,8245,5050,26167,23695,2016/05/15
62,9308,8587,7782,7457,7787,7236,6584,7588,5644,20144,18906,2017/02/11
63,9429,8608,7838,7435,8616,8023,6827,7503,5049,21681,20442,2020/03/07
64,10966,9968,9090,8292,11467,10676,8446,8977,5076,24372,22490,2013/04/21
65,11693,10744,9871,9278,12839,10126,8073,9509,5034,27523,24425,2015/06/14
66,8526,7782,6977,6534,8603,6930,6021,6708,5040,21867,20519,2014/11/18
67,10060,8997,7895,7176,8984,7176,6049,7687,5039,26989,24389,2014/08/14
68,12574,11602,10504,9947,12263,9353,7889,10331,5860,21997,21055,2019/07/27
69,10844,9856,8990,8296,11379,8168,6808,8557,5061,27384,24462,2017/07/21
70,8429,7664,6797,6348,7498,6459,5794,6593,5027,22449,21043,2020/11/18
71,8486,7741,6916,6483,7710,7169,6210,6697,5034,23690,22141,2015/11/21
72,9885,8841,7953,7150,10569,7498,6162,7671,5048,27500,24745,2013/08/27
73,9740,8737,7666,7002,8046,6915,5940,7421,5034,26827,24135,2017/09/23
74,11413,10522,9712,8968,12889,9176,7551,9397,5436,26095,23670,2019/05/24
