,B1_sr,B2_sr,B3_sr,B4_sr,B5_sr,B6_sr,B7_sr,B10_sr,B11_sr,DateTimeStamp
0,188,224,353,321,1148,625,302,2943,2930,2014/10/17
1,218,243,378,336,901,751,443,2915,2899,2017/10/25
2,178,203,350,309,1781,562,247,2955,2944,2018/10/12
3,348,402,542,528,1292,1089,764,2886,2865,2013/04/02
4,184,213,341,310,1192,716,346,2944,2931,2014/10/17
5,211,235,314,319,856,835,480,2899,2886,2015/10/20
6,199,242,349,374,893,747,461,2841,2833,2013/12/17
7,263,325,452,483,574,811,545,2869,2863,2018/03/02
8,222,246,384,346,1034,803,475,2916,2900,2017/10/25
9,176,205,360,311,1836,668,284,2956,2944,2018/10/12
10,209,245,385,344,863,675,341,2963,2939,2019/09/29
11,133,165,305,238,1295,631,271,2947,2936,2020/10/01
12,188,232,319,377,524,649,459,2775,2771,2015/02/06
13,353,405,527,561,943,1022,671,2805,2800,2017/03/15
14,192,234,351,344,1087,745,382,2819,2813,2016/12/09
15,223,260,364,393,928,841,525,2842,2834,2013/12/17
16,309,374,584,553,1417,1040,667,2959,2942,2017/05/02
17,276,330,452,484,623,917,629,2869,2863,2018/03/02
18,275,302,418,405,1074,892,473,2872,2866,2017/11/26
19,318,330,423,412,1039,750,411,2871,2865,2017/11/26
20,258,284,461,433,1260,850,530,2930,2913,2019/04/22
21,321,358,476,455,1273,756,484,2918,2905,2014/04/24
22,210,263,411,429,1025,1219,723,2827,2820,2019/02/01
23,210,240,346,349,812,610,382,2776,2770,2016/01/24
24,185,201,323,290,1062,675,323,2888,2878,2016/11/07
25,255,284,455,426,1162,803,508,2929,2912,2019/04/22
26,215,233,333,315,839,729,388,2865,2854,2016/12/25
27,192,224,408,366,1891,744,316,2892,2878,2018/10/28
28,175,199,280,272,886,551,309,2850,2842,2020/11/18
29,164,188,320,302,1384,550,275,2904,2887,2016/10/22
30,183,205,284,279,472,637,389,2840,2834,2015/01/21
31,223,252,360,356,1085,652,340,2819,2814,2016/12/09
32,162,191,305,270,1159,568,251,2912,2900,2020/10/17
33,206,237,347,311,885,561,280,2967,2943,2014/08/14
34,208,248,383,343,838,635,319,2962,2939,2019/09/29
35,163,184,308,281,971,660,312,2888,2878,2016/11/07
36,305,354,477,444,1303,981,595,2919,2906,2014/04/24
37,254,302,458,477,796,591,343,2925,2914,2016/03/28
38,149,175,295,234,1237,602,255,2947,2935,2020/10/01
39,172,217,371,326,1295,572,267,2963,2924,2018/08/09
40,314,366,563,515,1388,983,557,2910,2895,2016/04/13
41,267,307,433,383,986,1045,641,2914,2896,2015/04/27
42,343,413,591,576,1343,917,523,2987,2956,2019/06/25
43,321,370,554,531,1235,949,594,2889,2874,2013/04/07
44,172,197,330,254,988,366,184,2959,2937,2016/09/04
45,305,373,584,558,1332,997,651,2959,2941,2017/05/02
46,297,359,546,468,1222,720,414,2926,2912,2020/04/08
47,200,233,345,335,1029,941,550,2885,2877,2015/11/21
48,117,173,285,346,467,608,442,2775,2771,2015/02/06
49,295,363,527,621,755,814,495,2845,2835,2014/02/19
50,323,368,551,474,1377,681,376,2968,2946,2014/07/29
51,135,173,289,263,1117,545,260,2957,2938,2014/10/01
52,348,403,525,565,940,902,605,2805,2800,2017/03/15
53,182,207,415,308,1946,632,274,2969,2946,2018/09/26
54,167,193,291,266,1114,490,234,2956,2938,2014/10/01
55,317,336,421,415,1113,1105,632,2823,2817,2019/01/16
56,193,219,301,299,536,700,438,2840,2834,2015/01/21
57,207,258,452,407,1689,984,523,2809,2804,2018/11/29
58,240,296,384,416,710,645,466,2790,2781,2014/01/18
59,221,260,423,379,1440,911,489,2808,2804,2018/11/29
60,192,224,398,366,1842,651,282,2891,2878,2018/10/28
61,296,343,531,480,1231,877,482,2946,2922,2016/05/15
62,505,539,642,668,867,770,570,2787,2774,2017/02/11
63,323,366,518,526,958,880,548,2830,2824,2020/03/07
64,412,462,636,563,1410,1333,834,2901,2887,2013/04/21
65,586,637,795,778,1635,1133,720,2979,2943,2015/06/14
66,218,252,357,348,1229,712,386,2835,2826,2014/11/18
67,172,211,321,291,830,501,254,2966,2942,2014/08/14
68,909,923,1005,981,1556,986,683,2839,2843,2019/07/27
69,233,326,546,522,1333,710,430,2976,2944,2017/07/21
70,125,159,252,246,810,534,301,2851,2842,2020/11/18
71,246,267,350,341,917,814,472,2884,2876,2015/11/21
72,139,179,346,284,1228,588,286,2978,2952,2013/08/27
73,231,251,338,301,697,496,258,2962,2935,2017/09/23
74,469,554,750,697,1654,927,597,2944,2921,2019/05/24
75,162,217,377,351,1335,684,318,2913,2888,2013/10/30
76,274,336,517,526,997,955,598,2831,2824,2020/03/07
77,192,252,435,372,1252,610,336,2970,2942,2013/07/26
78,171,242,470,406,1298,707,325,2965,2929,2013/08/11
79,311,354,528,439,1316,631,347,2959,2939,2016/04/29
80,319,375,556,490,1085,620,366,2926,2912,2020/04/08
81,252,274,371,358,1172,683,374,2836,2826,2014/11/18
82,391,472,667,593,1530,881,507,2974,2945,2015/06/30
83,164,217,382,357,1355,758,352,2914,2889,2013/10/30
84,157,249,496,392,1336,603,300,2965,2930,2016/07/18
85,832,851,849,870,1409,1062,832,2777,2736,2017/12/12
86,146,179,323,251,949,349,179,2958,2937,2016/09/04
87,159,194,413,311,2038,673,289,2969,2946,2018/09/26
88,256,302,450,389,860,811,426,2963,2932,2019/09/13
89,234,303,460,428,1201,847,494,2974,2945,2018/06/06
90,198,277,506,435,1355,708,387,2969,2946,2014/07/29
91,312,371,546,453,1154,534,312,2967,2939,2017/08/06
92,739,716,813,806,1011,1225,1020,2857,2840,2017/02/27
93,219,276,445,454,855,718,410,2926,2915,2016/03/28
94,201,230,332,339,709,553,351,2775,2769,2016/01/24
95,161,187,324,310,1305,510,260,2903,2886,2016/10/22
96,264,326,492,579,828,499,308,2843,2834,2016/02/25
97,559,625,790,775,1672,1046,716,2987,2965,2017/06/03
98,205,242,376,342,1246,496,233,2961,2924,2018/08/09
99,195,222,289,299,804,740,430,2898,2885,2015/10/20
100,132,194,342,298,1113,589,259,2956,2931,2018/08/25
101,260,301,470,425,1015,916,514,2955,2934,2019/05/08
102,365,443,639,615,1150,1112,707,2910,2884,2017/04/16
103,1707,1644,1560,1520,1651,943,857,2706,2697,2015/01/05
104,355,463,696,690,1142,931,629,2916,2906,2018/04/19
105,617,623,706,623,1043,814,478,2938,2900,2015/08/17
106,480,562,745,687,1721,965,601,2945,2922,2019/05/24
107,209,273,478,416,1232,633,296,2965,2929,2013/08/11
108,167,200,291,255,599,461,238,2962,2935,2017/09/23
109,1805,1730,1715,1661,2059,1116,942,2686,2686,2016/11/23
110,436,500,667,622,1461,825,469,2965,2926,2017/07/05
111,5691,5572,5420,5413,5431,3971,2910,2706,2711,2019/12/18
112,495,580,753,726,1778,1123,733,2989,2966,2017/06/03
113,206,268,486,422,1769,701,338,2939,2917,2013/09/28
114,153,184,153,267,1143,516,232,2912,2900,2020/10/17
115,342,438,638,594,1479,875,490,2966,2926,2017/07/05
116,288,372,569,558,1283,967,539,2988,2957,2019/06/25
117,188,302,543,467,1235,623,338,2967,2939,2017/08/06
118,109,142,300,233,987,363,156,2950,2920,2018/09/10
