Station_Code,isSWMP,DateTimeStamp,Historical,ProvisionalPlus,F_Record,Temp,F_Temp,SpCond,F_SpCond,Sal,F_Sal,DO_pct,F_DO_pct,DO_mgl,F_DO_mgl,Depth,F_Depth,cDepth,F_cDepth,pH,F_pH,Turb,F_Turb,ChlFluor,F_ChlFluor,Unnamed: 26,Unnamed: 24
noczbwq,P,01/02/2018 14:00,1.0,1.0,,0.4,<0> ,40.68,<0> ,24.9,<0> ,100.9,<0> ,12.3,<0> ,0.45,<0> ,0.27,<3> ,8.6,<-3> [SQR] (CSM),15.0,<0> ,,<-1> ,,
noczbwq,P,01/02/2018 14:15,1.0,1.0,,0.5,<0> ,40.59,<0> ,24.9,<0> ,101.3,<0> ,12.3,<0> ,0.42,<0> ,0.24,<3> ,8.6,<-3> [SQR] (CSM),17.0,<0> ,,<-1> ,,
noczbwq,P,01/02/2018 14:30,1.0,1.0,,0.7,<0> ,40.55,<0> ,24.9,<0> ,102.0,<0> ,12.3,<0> ,0.39,<0> ,0.21,<3> ,8.6,<-3> [SQR] (CSM),15.0,<0> ,,<-1> ,,
noczbwq,P,01/02/2018 14:45,1.0,1.0,,0.9,<0> ,40.46,<0> ,24.9,<0> ,101.9,<0> ,12.2,<0> ,0.35,<0> ,0.17,<3> ,8.6,<-3> [SQR] (CSM),15.0,<0> ,,<-1> ,,
noczbwq,P,01/02/2018 15:00,1.0,1.0,,1.1,<0> ,40.48,<0> ,24.9,<0> ,101.5,<0> ,12.1,<0> ,0.33,<0> ,0.15,<3> ,8.5,<-3> [SQR] (CSM),14.0,<0> ,,<-1> ,,
noczbwq,P,01/02/2018 15:15,1.0,1.0,,1.2,<0> ,40.48,<0> ,24.9,<0> ,102.0,<0> ,12.1,<0> ,0.3,<0> ,0.12,<3> ,8.5,<-3> [SQR] (CSM),14.0,<0> ,,<-1> ,,
noczbwq,P,01/02/2018 15:30,1.0,1.0,,1.4,<0> ,40.45,<0> ,24.9,<0> ,102.9,<0> ,12.2,<0> ,0.27,<0> ,0.09,<3> ,8.5,<-3> [SQR] (CSM),13.0,<0> ,,<-1> ,,
noczbwq,P,01/02/2018 15:45,1.0,1.0,,1.5,<0> ,40.43,<0> ,24.9,<0> ,103.6,<0> ,12.3,<0> ,0.25,<0> ,0.07,<3> ,8.5,<-3> [SQR] (CSM),13.0,<0> ,,<-1> ,,
noczbwq,P,01/03/2018 14:00,1.0,1.0,,0.3,<0> ,40.34,<0> ,24.7,<0> ,97.3,<0> ,11.9,<0> ,0.46,<0> ,0.45,<3> ,8.6,<-3> [SQR] (CSM),11.0,<0> ,,<-1> ,,
noczbwq,P,01/03/2018 14:15,1.0,1.0,,0.2,<0> ,40.4,<0> ,24.7,<0> ,97.7,<0> ,12.0,<0> ,0.41,<0> ,0.4,<3> ,8.6,<-3> [SQR] (CSM),11.0,<0> ,,<-1> ,,
noczbwq,P,01/03/2018 14:30,1.0,1.0,,0.3,<0> ,40.37,<0> ,24.7,<0> ,97.9,<0> ,11.9,<0> ,0.37,<0> ,0.37,<3> ,8.6,<-3> [SQR] (CSM),10.0,<0> ,,<-1> ,,
noczbwq,P,01/03/2018 14:45,1.0,1.0,,0.6,<0> ,40.35,<0> ,24.7,<0> ,98.1,<0> ,11.9,<0> ,0.33,<0> ,0.33,<3> ,8.6,<-3> [SQR] (CSM),10.0,<0> ,,<-1> ,,
noczbwq,P,01/03/2018 15:00,1.0,1.0,,0.6,<0> ,40.27,<0> ,24.7,<0> ,98.3,<0> ,11.9,<0> ,0.29,<0> ,0.29,<3> ,8.6,<-3> [SQR] (CSM),10.0,<0> ,,<-1> ,,
noczbwq,P,01/03/2018 15:15,1.0,1.0,,0.6,<0> ,40.32,<0> ,24.7,<0> ,98.5,<0> ,11.9,<0> ,0.26,<0> ,0.26,<3> ,8.6,<-3> [SQR] (CSM),10.0,<0> ,,<-1> ,,
noczbwq,P,01/03/2018 15:30,1.0,1.0,,0.7,<0> ,40.18,<0> ,24.6,<0> ,98.4,<0> ,11.9,<0> ,0.23,<0> ,0.23,<3> ,8.6,<-3> [SQR] (CSM),10.0,<0> ,,<-1> ,,
noczbwq,P,01/03/2018 15:45,1.0,1.0,,0.7,<0> ,40.06,<0> ,24.6,<0> ,98.3,<0> ,11.9,<0> ,0.2,<0> ,0.2,<3> ,8.6,<-3> [SQR] (CSM),13.0,<0> ,,<-1> ,,
noczbwq,P,01/04/2018 14:00,1.0,1.0,,2.1,<0> ,40.94,<0> ,25.4,<0> ,96.5,<0> ,11.2,<0> ,0.59,<0> ,0.64,<3> ,8.6,<-3> [SQR] (CSM),16.0,<0> ,,<-1> ,,
noczbwq,P,01/04/2018 14:15,1.0,1.0,,1.7,<0> ,40.43,<0> ,25.0,<0> ,96.5,<0> ,11.3,<0> ,0.54,<0> ,0.59,<3> ,8.6,<-3> [SQR] (CSM),53.0,<0> ,,<-1> ,,
noczbwq,P,01/04/2018 14:30,1.0,1.0,,1.9,<0> ,40.42,<0> ,25.0,<0> ,96.5,<0> ,11.3,<0> ,0.49,<0> ,0.54,<3> ,8.6,<-3> [SQR] (CSM),70.0,<0> ,,<-1> ,,
noczbwq,P,01/04/2018 14:45,1.0,1.0,,1.4,<0> ,39.81,<0> ,24.5,<0> ,96.4,<0> ,11.5,<0> ,0.45,<0> ,0.49,<3> ,8.6,<-3> [SQR] (CSM),72.0,<0> ,,<-1> ,,
noczbwq,P,01/04/2018 15:00,1.0,1.0,,1.9,<0> ,40.03,<0> ,24.7,<0> ,96.7,<0> ,11.3,<0> ,0.4,<0> ,0.44,<3> ,8.6,<-3> [SQR] (CSM),69.0,<0> ,,<-1> ,,
noczbwq,P,01/04/2018 15:15,1.0,1.0,,1.6,<0> ,39.86,<0> ,24.6,<0> ,96.3,<0> ,11.4,<0> ,0.36,<0> ,0.4,<3> ,8.6,<-3> [SQR] (CSM),68.0,<0> ,,<-1> ,,
noczbwq,P,01/04/2018 15:30,1.0,1.0,,1.4,<0> ,39.61,<0> ,24.4,<0> ,96.3,<0> ,11.4,<0> ,0.32,<0> ,0.36,<3> ,8.6,<-3> [SQR] (CSM),64.0,<0> ,,<-1> ,,
noczbwq,P,01/04/2018 15:45,1.0,1.0,,1.7,<0> ,39.67,<0> ,24.4,<0> ,96.6,<0> ,11.4,<0> ,0.29,<0> ,0.33,<3> ,8.6,<-3> [SQR] (CSM),66.0,<0> ,,<-1> ,,
noczbwq,P,01/05/2018 14:00,1.0,1.0,,0.9,<0> ,41.62,<0> ,25.6,<0> ,98.6,<0> ,11.8,<0> ,0.77,<0> ,0.68,<3> ,8.7,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
noczbwq,P,01/05/2018 14:15,1.0,1.0,,1.0,<0> ,41.62,<0> ,25.6,<0> ,99.1,<0> ,11.8,<0> ,0.72,<0> ,0.63,<3> ,8.7,<-3> [SQR] (CSM),5.0,<0> ,,<-1> ,,
noczbwq,P,01/05/2018 14:30,1.0,1.0,,1.0,<0> ,41.64,<0> ,25.7,<0> ,99.3,<0> ,11.8,<0> ,0.66,<0> ,0.57,<3> ,8.6,<-3> [SQR] (CSM),5.0,<0> ,,<-1> ,,
noczbwq,P,01/05/2018 14:45,1.0,1.0,,1.1,<0> ,41.62,<0> ,25.7,<0> ,99.7,<0> ,11.9,<0> ,0.61,<0> ,0.52,<3> ,8.6,<-3> [SQR] (CSM),4.0,<0> ,,<-1> ,,
noczbwq,P,01/05/2018 15:00,1.0,1.0,,1.1,<0> ,41.57,<0> ,25.6,<0> ,99.9,<0> ,11.9,<0> ,0.57,<0> ,0.48,<3> ,8.6,<-3> [SQR] (CSM),5.0,<0> ,,<-1> ,,
noczbwq,P,01/05/2018 15:15,1.0,1.0,,1.2,<0> ,41.51,<0> ,25.6,<0> ,100.1,<0> ,11.9,<0> ,0.52,<0> ,0.43,<3> ,8.6,<-3> [SQR] (CSM),5.0,<0> ,,<-1> ,,
noczbwq,P,01/05/2018 15:30,1.0,1.0,,1.3,<0> ,41.43,<0> ,25.6,<0> ,100.1,<0> ,11.8,<0> ,0.49,<0> ,0.4,<3> ,8.6,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
noczbwq,P,01/05/2018 15:45,1.0,1.0,,1.2,<0> ,41.47,<0> ,25.6,<0> ,100.1,<0> ,11.9,<0> ,0.45,<0> ,0.36,<3> ,8.6,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
noczbwq,P,01/06/2018 14:00,1.0,1.0,,0.3,<0> ,41.4,<0> ,25.4,<0> ,100.8,<0> ,12.2,<0> ,0.95,<0> ,0.79,<3> ,8.7,<-3> [SQR] (CSM),8.0,<0> ,,<-1> ,,
noczbwq,P,01/06/2018 14:15,1.0,1.0,,0.3,<0> ,41.38,<0> ,25.4,<0> ,101.0,<0> ,12.3,<0> ,0.9,<0> ,0.74,<3> ,8.7,<-3> [SQR] (CSM),9.0,<0> ,,<-1> ,,
noczbwq,P,01/06/2018 14:30,1.0,1.0,,0.3,<0> ,41.1,<0> ,25.2,<0> ,101.4,<0> ,12.3,<0> ,0.84,<0> ,0.68,<3> ,8.6,<-3> [SQR] (CSM),8.0,<0> ,,<-1> ,,
noczbwq,P,01/06/2018 14:45,1.0,1.0,,0.4,<0> ,41.07,<0> ,25.2,<0> ,101.7,<0> ,12.3,<0> ,0.79,<0> ,0.63,<3> ,8.6,<-3> [SQR] (CSM),7.0,<0> ,,<-1> ,,
noczbwq,P,01/06/2018 15:00,1.0,1.0,,0.6,<0> ,41.01,<0> ,25.2,<0> ,101.9,<0> ,12.3,<0> ,0.74,<0> ,0.58,<3> ,8.6,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
noczbwq,P,01/06/2018 15:15,1.0,1.0,,0.7,<0> ,40.99,<0> ,25.2,<0> ,102.3,<0> ,12.3,<0> ,0.69,<0> ,0.53,<3> ,8.6,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
noczbwq,P,01/06/2018 15:30,1.0,1.0,,0.9,<0> ,40.93,<0> ,25.2,<0> ,102.6,<0> ,12.3,<0> ,0.65,<0> ,0.48,<3> ,8.6,<-3> [SQR] (CSM),7.0,<0> ,,<-1> ,,
noczbwq,P,01/06/2018 15:45,1.0,1.0,,1.0,<0> ,40.88,<0> ,25.2,<0> ,102.8,<0> ,12.3,<0> ,0.6,<0> ,0.43,<3> ,8.6,<-3> [SQR] (CSM),7.0,<0> ,,<-1> ,,
noczbwq,P,01/07/2018 14:00,1.0,1.0,,0.5,<0> ,42.82,<0> ,26.4,<0> ,104.3,<0> ,12.5,<0> ,1.03,<0> ,0.81,<3> ,8.6,<-3> [SQR] (CSM),7.0,<0> ,,<-1> ,,
noczbwq,P,01/07/2018 14:15,1.0,1.0,,0.5,<0> ,42.86,<0> ,26.4,<0> ,104.3,<0> ,12.5,<0> ,0.98,<0> ,0.76,<3> ,8.7,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
noczbwq,P,01/07/2018 14:30,1.0,1.0,,0.6,<0> ,42.78,<0> ,26.4,<0> ,103.7,<0> ,12.4,<0> ,0.93,<0> ,0.71,<3> ,8.7,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
noczbwq,P,01/07/2018 14:45,1.0,1.0,,0.6,<0> ,42.77,<0> ,26.4,<0> ,104.0,<0> ,12.4,<0> ,0.88,<0> ,0.66,<3> ,8.7,<-3> [SQR] (CSM),6.0,<0> ,,<-1> ,,
